vectorizer_type,ngram_range,mean_fit_time,accuracy,precision,recall,f1,alpha,l1_ratio
TF,"(1, 3)",19.37009906768799,0.81642/0.82581/0.83794,0.78575/0.80054/0.81458,0.73047/0.74355/0.76190,0.75710/0.77099/0.78736,4.2444719898180106e-05,0.07473829883630422
TF-IDF,"(1, 3)",18.39940986633301,0.81560/0.82454/0.83675,0.80220/0.81192/0.82589,0.70084/0.72261/0.74185,0.75278/0.76462/0.78162,4.2470582092649606e-05,0.17564719015373903
log(TF),"(1, 3)",19.045043468475342,0.81935/0.82462/0.83656,0.79346/0.80683/0.82149,0.71547/0.73020/0.74737,0.75245/0.76656/0.78268,3.707258609734565e-05,0.2494798797776434
log(TF)-IDF,"(1, 3)",15.180593538284302,0.81721/0.82691/0.83952,0.79318/0.80974/0.82437,0.71562/0.73369/0.75288,0.76023/0.76978/0.78701,6.782046232003699e-05,0.003152240443357523
